127.0.0.1 - - [10/Sep/2023:16:23:05 +0900] "GET / HTTP/1.1" 404 807
192.168.50.164 - - [10/Sep/2023:16:23:16 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 500 4257
192.168.50.164 - - [10/Sep/2023:16:23:54 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.50.164 - - [10/Sep/2023:16:23:55 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 47
192.168.50.164 - - [10/Sep/2023:16:23:55 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 156
192.168.50.164 - - [10/Sep/2023:16:23:55 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
192.168.50.164 - - [10/Sep/2023:16:23:55 +0900] "GET /furnimatch/image/20220803_125023.jpg HTTP/1.1" 200 2831669
192.168.50.164 - - [10/Sep/2023:16:23:55 +0900] "GET /furnimatch/image/re_sofa2.jpg HTTP/1.1" 200 15676
192.168.50.164 - - [10/Sep/2023:16:24:08 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.50.164 - - [10/Sep/2023:16:24:08 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 47
192.168.50.164 - - [10/Sep/2023:16:24:08 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 156
192.168.50.164 - - [10/Sep/2023:16:24:08 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
192.168.50.164 - - [10/Sep/2023:16:24:08 +0900] "GET /furnimatch/image/20220803_125023.jpg HTTP/1.1" 200 2831669
192.168.50.164 - - [10/Sep/2023:16:24:12 +0900] "POST /furnimatch/product_information.jsp HTTP/1.1" 200 142
192.168.50.164 - - [10/Sep/2023:16:24:13 +0900] "POST /furnimatch/product_inf_profileimg.jsp HTTP/1.1" 200 16
192.168.50.164 - - [10/Sep/2023:16:24:13 +0900] "POST /furnimatch/get_ar.jsp HTTP/1.1" 200 16
