127.0.0.1 - - [20/Sep/2023:16:09:01 +0900] "GET / HTTP/1.1" 404 807
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 66
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 856
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "POST /furnimatch/main_ar_list.jsp HTTP/1.1" 200 807
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/Screenshot_20230823_170734_ARprac2.jpg HTTP/1.1" 200 830781
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/bench04.jpg HTTP/1.1" 200 263300
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/office_chair.jpg HTTP/1.1" 200 356386
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/sofa_chair2.jpg HTTP/1.1" 200 145718
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/1695001259314.jpg HTTP/1.1" 200 71036
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/KakaoTalk_20230906_220820999_01.png HTTP/1.1" 200 214066
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/Screenshot_20230919_085542_ARprac2.jpg HTTP/1.1" 200 796965
192.168.0.27 - - [20/Sep/2023:16:10:17 +0900] "GET /furnimatch/image/20230915_161832.jpg HTTP/1.1" 200 2552982
192.168.0.27 - - [20/Sep/2023:16:10:22 +0900] "POST /furnimatch/product_information.jsp HTTP/1.1" 200 454
192.168.0.27 - - [20/Sep/2023:16:10:22 +0900] "POST /furnimatch/product_inf_profileimg.jsp HTTP/1.1" 200 56
192.168.0.27 - - [20/Sep/2023:16:10:22 +0900] "POST /furnimatch/get_ar.jsp HTTP/1.1" 200 24
192.168.0.27 - - [20/Sep/2023:16:10:22 +0900] "GET /furnimatch/image/Screenshot_20230823_170734_ARprac2.jpg HTTP/1.1" 200 830781
192.168.0.27 - - [20/Sep/2023:16:10:22 +0900] "GET /furnimatch/image/office_chair.jpg HTTP/1.1" 200 356386
192.168.0.27 - - [20/Sep/2023:16:10:22 +0900] "GET /furnimatch/image/office_chair_3.jpg HTTP/1.1" 200 38127
192.168.0.27 - - [20/Sep/2023:16:10:24 +0900] "GET /furnimatch/image/office_chair_2.jpeg HTTP/1.1" 200 54548
