127.0.0.1 - - [16/Aug/2023:20:40:36 +0900] "GET / HTTP/1.1" 404 807
192.168.50.164 - - [16/Aug/2023:20:40:42 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.50.164 - - [16/Aug/2023:20:40:42 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 15
192.168.50.164 - - [16/Aug/2023:20:40:42 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 145
192.168.50.164 - - [16/Aug/2023:20:40:42 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
192.168.50.164 - - [16/Aug/2023:20:40:42 +0900] "GET /furnimatch/image/re_table2.jpg HTTP/1.1" 200 138851
192.168.50.164 - - [16/Aug/2023:20:40:42 +0900] "GET /furnimatch/image/office_chair_3.jpg HTTP/1.1" 200 38127
192.168.50.164 - - [16/Aug/2023:20:40:46 +0900] "POST /furnimatch/insert_favorite_list.jsp HTTP/1.1" 200 8
192.168.50.164 - - [16/Aug/2023:20:41:32 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.50.164 - - [16/Aug/2023:20:41:32 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 15
192.168.50.164 - - [16/Aug/2023:20:41:32 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 145
192.168.50.164 - - [16/Aug/2023:20:41:32 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
192.168.50.164 - - [16/Aug/2023:20:44:49 +0900] "POST /furnimatch/insert_favorite_list.jsp HTTP/1.1" 200 6
192.168.50.164 - - [16/Aug/2023:20:44:56 +0900] "POST /furnimatch/insert_favorite_list.jsp HTTP/1.1" 200 6
192.168.50.164 - - [16/Aug/2023:20:49:01 +0900] "POST /furnimatch/join_login.jsp HTTP/1.1" 200 17
192.168.50.164 - - [16/Aug/2023:20:49:01 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 15
192.168.50.164 - - [16/Aug/2023:20:49:01 +0900] "POST /furnimatch/main_product_list.jsp HTTP/1.1" 200 145
192.168.50.164 - - [16/Aug/2023:20:49:01 +0900] "POST /furnimatch/find_name_product_list.jsp HTTP/1.1" 200 12
